,tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,dog_stage,id,retweet_count,favorite_count,tweet_id,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
0,892420643555336193,nan,nan,2017-08-01 16:23:56,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,10.0,10.0,Phineas,,8.924206435553362e+17,8853.0,39467.0,6.660208880227901e+17,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,1.0,Welsh_Springer_Spaniel,0.465074,True,Collie,0.156665,True,Shetland_Sheepdog,0.0614285,True
1,892177421306343426,nan,nan,2017-08-01 00:17:27,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,10.0,10.0,Tilly,,8.921774213063434e+17,6514.0,33819.0,6.660292850026209e+17,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1.0,Redbone,0.506826,True,Miniature_Pinscher,0.07419169999999999,True,Rhodesian_Ridgeback,0.07201,True
2,891815181378084864,nan,nan,2017-07-31 00:18:03,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,10.0,10.0,Archie,,8.918151813780849e+17,4328.0,25461.0,6.660334127010324e+17,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,1.0,German_Shepherd,0.596461,True,Malinois,0.13858399999999998,True,Bloodhound,0.116197,True
3,891689557279858688,nan,nan,2017-07-30 15:58:51,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,10.0,10.0,Darla,,8.916895572798587e+17,8964.0,42908.0,6.660442263298007e+17,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1.0,Rhodesian_Ridgeback,0.408143,True,Redbone,0.360687,True,Miniature_Pinscher,0.222752,True
4,891327558926688256,nan,nan,2017-07-29 16:00:24,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",10.0,10.0,Franklin,,8.913275589266883e+17,9774.0,41048.0,6.660492481658225e+17,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,1.0,Miniature_Pinscher,0.560311,True,Rottweiler,0.243682,True,Doberman,0.154629,True
5,891087950875897856,nan,nan,2017-07-29 00:08:17,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,10.0,10.0,None,,8.910879508758979e+17,3261.0,20562.0,6.660507587946947e+17,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,1.0,Bernese_Mountain_Dog,0.651137,True,English_Springer,0.263788,True,Greater_Swiss_Mountain_Dog,0.0161992,True
6,890971913173991426,nan,nan,2017-07-28 16:27:12,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",10.0,10.0,Jax,,8.909719131739914e+17,2158.0,12041.0,6.660518538268508e+17,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,1.0,Box_Turtle,0.933012,False,Mud_Turtle,0.045885400000000014,False,Terrapin,0.017885299999999996,False
7,890729181411237888,nan,nan,2017-07-28 00:22:40,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",10.0,10.0,None,,8.907291814112379e+17,16716.0,56848.0,6.660555250424054e+17,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,1.0,Chow,0.692517,True,Tibetan_Mastiff,0.0582794,True,Fur_Coat,0.0544486,False
8,890609185150312448,nan,nan,2017-07-27 16:25:51,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,10.0,10.0,Zoey,,8.906091851503124e+17,4429.0,28226.0,6.66057090499244e+17,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,1.0,Shopping_Cart,0.962465,False,Shopping_Basket,0.0145938,False,Golden_Retriever,0.00795896,True
9,890240255349198849,nan,nan,2017-07-26 15:59:51,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,10.0,10.0,Cassie,doggo,8.902402553491988e+17,7711.0,32467.0,6.660586005241569e+17,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,1.0,Miniature_Poodle,0.201493,True,Komondor,0.192305,True,Soft-Coated_Wheaten_Terrier,0.08208610000000001,True
10,890006608113172480,nan,nan,2017-07-26 00:31:25,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",10.0,10.0,Koda,,8.900066081131725e+17,7624.0,31166.0,6.660638272560865e+17,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,1.0,Golden_Retriever,0.77593,True,Tibetan_Mastiff,0.0937178,True,Labrador_Retriever,0.07242660000000001,True
11,889880896479866881,nan,nan,2017-07-25 16:11:53,Twitter for iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,https://twitter.com/dog_rates/status/889880896479866881/photo/1,10.0,10.0,Bruno,,8.898808964798669e+17,5156.0,28268.0,6.660711932215091e+17,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,1.0,Gordon_Setter,0.503672,True,Yorkshire_Terrier,0.174201,True,Pekinese,0.109454,True
12,889665388333682689,nan,nan,2017-07-25 01:55:32,Twitter for iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,https://twitter.com/dog_rates/status/889665388333682689/photo/1,10.0,10.0,None,puppo,8.896653883336827e+17,8538.0,38818.0,6.66073100786774e+17,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,1.0,Walker_Hound,0.260857,True,English_Foxhound,0.17538199999999998,True,Ibizan_Hound,0.0974705,True
13,889638837579907072,nan,nan,2017-07-25 00:10:02,Twitter for iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",10.0,10.0,Ted,,8.896388375799071e+17,4735.0,27672.0,6.660829167331983e+17,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,1.0,Pug,0.489814,True,Bull_Mastiff,0.404722,True,French_Bulldog,0.0489595,True
14,889531135344209921,nan,nan,2017-07-24 17:02:04,Twitter for iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,https://twitter.com/dog_rates/status/889531135344209921/photo/1,10.0,10.0,Stuart,puppo,8.895311353442099e+17,2321.0,15359.0,6.660940000221594e+17,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,1.0,Bloodhound,0.195217,True,German_Shepherd,0.0782598,True,Malinois,0.07562780000000001,True
15,889278841981685760,nan,nan,2017-07-24 00:19:32,Twitter for iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,https://twitter.com/dog_rates/status/889278841981685760/video/1,10.0,10.0,Oliver,,8.892788419816858e+17,5637.0,25652.0,6.66099513787052e+17,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,1.0,Lhasa,0.58233,True,Shih-Tzu,0.166192,True,Dandie_Dinmont,0.0896883,True
16,888917238123831296,nan,nan,2017-07-23 00:22:39,Twitter for iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,https://twitter.com/dog_rates/status/888917238123831296/photo/1,10.0,10.0,Jim,,8.889172381238313e+17,4709.0,29611.0,6.661021559091446e+17,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,1.0,English_Setter,0.298617,True,Newfoundland,0.149842,True,Borzoi,0.133649,True
